648 -45045
496 -63855
330 -83015
189 -99015
39 -116305
29 -115340
139 -102995
278 -87490
332 -81220
354 -78690
253 -91925
100 -110085
41 -115480
20 -117385
69 -111605
150 -102050
228 -92940
258 -89615
214 -95540
144 -103845
71 -112220
51 -113890
90 -109190
98 -108150
121 -105390
123 -105310
79 -110990
66 -111920
44 -114585
38 -115105
72 -111220
86 -109500
98 -108095
161 -100785
235 -92695
252 -90340
286 -86425
257 -90570
140 -104770
108 -107170
77 -110985
47 -114355
176 -98850
324 -81785
401 -73205
466 -65565
372 -78085
233 -94395
136 -104750
56 -113665
16 -117665
2 -118885
0 -118935
40 -114505
122 -105140
167 -99960
208 -95275
234 -92905
174 -100395
177 -99515
220 -94495
232 -93515
252 -90530
217 -94970
136 -104805
58 -113685
16 -117975
28 -116235
26 -116310
37 -115015
57 -112705
66 -112095
96 -108325
95 -108600
81 -110355
48 -114365
17 -117885
8 -118605
2 -119235
27 -116415
50 -113680
134 -103650
307 -83660
480 -64175
597 -50450
616 -49115
482 -65915
283 -89190
143 -104405
40 -115710
1 -119220
1 -118635
108 -106865
184 -97945
243 -91230
278 -87300
194 -98590
118 -106870
62 -113035
29 -116480
6 -118945
5 -118730
3 -118995
3 -118990
24 -116630
29 -116065
32 -115735
33 -115645
16 -117900
21 -117070
58 -112800
121 -105260
228 -93135
292 -85725
349 -79590
325 -82695
252 -91825
203 -96920
128 -105930
182 -98680
225 -93740
224 -93690
252 -90475
160 -102125
90 -109960
74 -110975
30 -116395
106 -107030
111 -106595
124 -105070
146 -102530
68 -112545
71 -111280
91 -109075
89 -109470
141 -103025
142 -103145
128 -105095
116 -106290
84 -110325
113 -106570
88 -109560
73 -111095
53 -113510
5 -119435
28 -116175
109 -106760
173 -99420
184 -98110
176 -99430
105 -108455
41 -115585
71 -111330
163 -100545
239 -91690
328 -81230
351 -79155
250 -91770
170 -100650
79 -111185
14 -118270
9 -118005
50 -113410
62 -111955
71 -110895
122 -105115
128 -105045
149 -102150
150 -102015
97 -108780
44 -114860
11 -118355
11 -118010
148 -102040
149 -101915
149 -101915
139 -103210
1 -121000
0 -119060
70 -111345
114 -106160
204 -95735
355 -78090
451 -68025
533 -58120
594 -51875
527 -60615
421 -73185
328 -83345
182 -100500
98 -109150
39 -115580
9 -118635
17 -117355
41 -114595
104 -107315
105 -107245
95 -108545
75 -110985
14 -118610
10 -118170
11 -118060
7 -118535
9 -118315
42 -114560
83 -109920
111 -106670
130 -104510
103 -108010
64 -112675
38 -115420
15 -118010
11 -118200
6 -118780
12 -118065
16 -117595
47 -114080
53 -113380
53 -113510
59 -112760
35 -115950
77 -110615
104 -107535
124 -105320
160 -100955
232 -93120
362 -77885
434 -69480
501 -61995
455 -68565
304 -86570
241 -92960
148 -103810
74 -111770
60 -112455
24 -116995
5 -118865
61 -112320
124 -104990
138 -103490
147 -102380
104 -108200
42 -115425
30 -116160
21 -117060
7 -118735
10 -118205
12 -118060
15 -117640
33 -115600
90 -109060
195 -96745
368 -76830
389 -74605
351 -79555
243 -92775
67 -113960
28 -116390
16 -117535
34 -115265
64 -111775
80 -109950
124 -104950
222 -93725
382 -75280
491 -62605
472 -65430
364 -78870
174 -101755
49 -115155
15 -117735
3 -118775
15 -117260
120 -105340
243 -91185
345 -79530
380 -75705
317 -84205
196 -98435
94 -109840
47 -114400
6 -119045
11 -117940
57 -112720
71 -111110
129 -104425
179 -98790
155 -102165
214 -94680
215 -95320
223 -94305
302 -84655
321 -83120
281 -87560
224 -94245
124 -106255
32 -116685
12 -117905
2 -118905
43 -114285
155 -101210
299 -84530
315 -82730
285 -86860
173 -100755
29 -117795
13 -117715
152 -101985
197 -96565
295 -85055
339 -80035
209 -97220
167 -100460
69 -112525
26 -116665
6 -118645
3 -118705
3 -118660
16 -117250
167 -99815
309 -83395
459 -66135
554 -55660
407 -74580
268 -90405
119 -107665
10 -119585
9 -118165
178 -98315
239 -91305
246 -90510
249 -90260
79 -112280
17 -117760
62 -111860
155 -101300
302 -84445
437 -68800
546 -56735
566 -55105
505 -62890
403 -74515
245 -93075
126 -106150
39 -115660
6 -118630
5 -118305
8 -117970
12 -117510
122 -105105
209 -95220
254 -90150
295 -85550
202 -97670
128 -105860
104 -108070
94 -109125
78 -110530
64 -112115
38 -115270
2 -119560
22 -116840
125 -104780
179 -98620
221 -93785
214 -94870
121 -106795
71 -111810
33 -116010
73 -110955
78 -110335
91 -108755
95 -108280
51 -114080
49 -113720
99 -108055
133 -104015
220 -93925
254 -90090
211 -95815
193 -97530
100 -109050
55 -113505
58 -112770
64 -112100
93 -108460
104 -107155
83 -109915
58 -112850
28 -116360
28 -116120
99 -107915
122 -105265
149 -102055
174 -99445
156 -102295
166 -100385
254 -90265
287 -86665
242 -92140
223 -94000
116 -107515
48 -114655
44 -114255
129 -104540
168 -99960
307 -83765
440 -68535
419 -72305
463 -66385
396 -75450
264 -90670
196 -97625
129 -105485
74 -111550
195 -96815
221 -93955
197 -96890
178 -98995
46 -115835
5 -119185
14 -117630
23 -116600
38 -114890
43 -114330
36 -115325
37 -115195
40 -114930
130 -104375
223 -93610
243 -91445
246 -91175
173 -100715
75 -112030
45 -114490
35 -115455
51 -113705
94 -108365
207 -95410
271 -88195
248 -91250
225 -93980
123 -106795
52 -114345
177 -98600
173 -99175
166 -99875
164 -99980
24 -118120
8 -118100
134 -103765
156 -101095
172 -99250
177 -98700
48 -115510
24 -116650
23 -116670
108 -106790
130 -104250
137 -103415
126 -104890
41 -115795
16 -117695
21 -116845
71 -111125
92 -108750
125 -104825
209 -95170
249 -91160
268 -88485
296 -85435
211 -96150
119 -106710
77 -110810
26 -116910
16 -117315
101 -107555
198 -96265
224 -93415
296 -84925
380 -76465
334 -82010
349 -79355
299 -85690
128 -106825
74 -111280
25 -116880
12 -117985
63 -111900
112 -106150
245 -90910
248 -90730
199 -96940
154 -102085
19 -118895
6 -118560
179 -98695
289 -85980
324 -81850
371 -76470
213 -97250
99 -109445
64 -112285
17 -117870
0 -119375
0 -119120
176 -99760
176 -99440
240 -91955
312 -83640
227 -95730
348 -78780
384 -75825
330 -82195
240 -92825
119 -107190
19 -118375
1 -119215
0 -119075
77 -110590
108 -106970
153 -101805
181 -98575
141 -104355
134 -104445
124 -105835
130 -104775
132 -104810
108 -107375
75 -111345
41 -115240
2 -119800
14 -117895
103 -107070
320 -82215
461 -66165
592 -51055
645 -45330
656 -46675
595 -52710
463 -67950
327 -83570
101 -110820
21 -117800
22 -116700
36 -115120
34 -115260
34 -115230
22 -116790
1 -119355
19 -117045
87 -109370
120 -105585
130 -104460
119 -105980
56 -113955
24 -117115
22 -117035
17 -117560
34 -115640
114 -106290
141 -103295
214 -94815
218 -94585
144 -103980
111 -107100
38 -116085
12 -118340
29 -116140
26 -116425
24 -116640
24 -116610
0 -119720
0 -119360
128 -105280
128 -105240
136 -104315
143 -103480
28 -118665
28 -116745
23 -117315
44 -114790
81 -109760
301 -84190
393 -73620
380 -75510
330 -81590
110 -109440
15 -118490
0 -119015
0 -118790
242 -92170
242 -92030
270 -88810
295 -85820
100 -111875
103 -107905
113 -106640
240 -91745
313 -83630
450 -67265
478 -64440
342 -81795
227 -94555
88 -110845
23 -117175
10 -117920
13 -117450
30 -115455
166 -99875
246 -90790
244 -91080
230 -92845
96 -110045
13 -118780
7 -118315
11 -117865
55 -112920
183 -98085
222 -93655
225 -93415
186 -98495
60 -114210
21 -117360
19 -117205
143 -102715
304 -83915
336 -80190
371 -76280
272 -89525
109 -108735
91 -108885
75 -110865
42 -114495
42 -113995
30 -115590
5 -118685
13 -117385
28 -115695
225 -92950
388 -74215
484 -63370
544 -56640
365 -79750
199 -98345
98 -109040
28 -116655
21 -116670
239 -91450
326 -81575
412 -71790
416 -71465
214 -97620
127 -105720
36 -116200
41 -114565
96 -108360
187 -97710
296 -84985
287 -86380
220 -94810
128 -105745
19 -118505
6 -118560
19 -117015
185 -97830
267 -88255
346 -79135
384 -75075
222 -95965
140 -104105
61 -113145
6 -119110
0 -119065
1 -118865
104 -107535
176 -98695
308 -83660
450 -67250
494 -63585
448 -68465
336 -82210
197 -98370
51 -115225
25 -116400
102 -107665
126 -104710
164 -100240
185 -97785
113 -107580
85 -109765
46 -114400
29 -116085
11 -118215
112 -106295
135 -103625
191 -97215
276 -87515
226 -94605
321 -82435
360 -78545
276 -88705
230 -93380
115 -107620
17 -118610
12 -117835
123 -105265
121 -105465
121 -105440
118 -105815
2 -120840
1 -119230
96 -108475
129 -104530
219 -94140
291 -85870
213 -96165
188 -98120
104 -108615
33 -116515
34 -115620
99 -107880
254 -89765
333 -80600
326 -81680
262 -89855
101 -109690
21 -117675
13 -117575
65 -111710
73 -110680
81 -109770
85 -109370
49 -114355
203 -95560
286 -86025
335 -80445
337 -80510
178 -100800
97 -109075
68 -111900
101 -107695
156 -101085
245 -90820
379 -75730
471 -65675
469 -65990
400 -74525
244 -93420
94 -110530
40 -115305
15 -117795
31 -115625
84 -109495
157 -101070
192 -97190
177 -99155
125 -105635
50 -114555
11 -118510
35 -115365
63 -112100
91 -108860
128 -104565
161 -101200
147 -102780
131 -104595
114 -106700
114 -106875
216 -94490
326 -81740
383 -75240
355 -79120
278 -88855
191 -98955
130 -105280
131 -104585
123 -105525
97 -108440
80 -110120
43 -114675
9 -118535
1 -119085
1 -118950
69 -111470
184 -97805
269 -88120
283 -86505
227 -93995
112 -107925
26 -117380
15 -117580
136 -103680
227 -92940
329 -81205
489 -62550
459 -67955
404 -73695
367 -78120
206 -97555
106 -108150
75 -110735
14 -118200
18 -116820
160 -100680
293 -85440
386 -74895
474 -64830
419 -72845
354 -80290
284 -87715
207 -96570
120 -106520
49 -114440
43 -114485
70 -111265
147 -102295
165 -100205
149 -102335
106 -107600
26 -117335
6 -118735
96 -108445
117 -105900
151 -102025
186 -97910
133 -105405
137 -103880
143 -103295
162 -101245
212 -95325
260 -89555
245 -91500
193 -97695
101 -108845
27 -117085
2 -119225
0 -119110
34 -115340
163 -100280
283 -86540
353 -78450
411 -72325
295 -87015
188 -99225
137 -104350
69 -112525
152 -101565
202 -95900
201 -96095
208 -95375
125 -106040
120 -106030
131 -104115
129 -104570
125 -104790
67 -112130
41 -114700
16 -117580
90 -108925
188 -97525
236 -92105
334 -80690
315 -83980
250 -91680
216 -94860
117 -107025
53 -113810
20 -117140
5 -118635
2 -118770
59 -112425
66 -111630
67 -111545
67 -111515
13 -118595
6 -118650
14 -117720
45 -114160
131 -104170
163 -100525
194 -97120
218 -94690
163 -101740
231 -93050
300 -85245
290 -86590
264 -89255
169 -101160
59 -113980
14 -118165
10 -118075
123 -105245
254 -89640
425 -70035
541 -56925
523 -60340
398 -74945
233 -94520
114 -107440
14 -118640
7 -118050
13 -117405
32 -115200
70 -110850
83 -109395
76 -110355
66 -111650
33 -115720
25 -116265
38 -114680
53 -113030
89 -108785
92 -108450
84 -109550
67 -111590
36 -115420
50 -113325
165 -100195
160 -100745
153 -101590
134 -103960
10 -119750
7 -118265
171 -99600
250 -90395
364 -77270
480 -63775
489 -64810
463 -66650
424 -71725
340 -81415
184 -100320
162 -101080
90 -109675
61 -112365
42 -114370
8 -118490
21 -116610
83 -109585
89 -108875
94 -108290
80 -110160
17 -118125
10 -118060
32 -115600
69 -111350
150 -101990
177 -98870
210 -95390
222 -94165
154 -102635
140 -103420
82 -110595
30 -116455
15 -117625
2 -119090
138 -103725
144 -102985
149 -102425
150 -102305
14 -120010
8 -118720
3 -119280
3 -119225
24 -116900
29 -116285
37 -115350
46 -114335
36 -115775
85 -109700
162 -100730
169 -99940
201 -96395
150 -102865
65 -113105
50 -113815
6 -119300
3 -119015
27 -116315
74 -110705
111 -106455
188 -97495
215 -94720
221 -94370
240 -92075
182 -99305
160 -101490
125 -105565
154 -102200
241 -91640
283 -86945
342 -80010
347 -80400
260 -90755
204 -96655
142 -103910
53 -114335
39 -114870
115 -106200
