Estudio	Ensayo	D_eucli	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_Random_zscore	0	677.2733	40	0.020455471963653493	0.9685339617477567	0.015674297919158753	7.395821537598706	0.7120158009793169	4
Chi30_Random_zscore	1	1624.5071	27	0.9664030086143541	0.2830952700092937	0.6007102811738324	6.542838827517382	0.42753058300430435	3
Chi30_Random_zscore	2	1624.5071	27	0.9701094678523245	0.059620114621314335	2.4359475543313236	6.549183305617673	0.8743236449257991	4
Chi30_Random_zscore	3	3468.2100	33	0.6381019857930169	0.7160848317809689	3.9162796473042545	9.392900440328871	0.8993330719685784	4
Chi30_Random_zscore	4	1624.5071	26	0.3817458774089111	0.10403909403557132	4.163946418586895	13.53648926027434	0.008919913747797326	4
Chi30_Random_zscore	5	3534.5843	31	0.8391970861013157	0.9781478472726727	1.6924869686398054	8.103774188826424	0.8404462672312667	4
Chi30_Random_zscore	6	3568.4488	40	0.2085461352519664	0.8089880509225609	3.1671526344487395	13.045795244188213	0.9789337910804169	4
Chi30_Random_zscore	7	3540.4558	31	0.13395848555936352	0.6579723321913484	1.1936221570471388	5.707663605570467	0.03881714164118677	4
Chi30_Random_zscore	8	3425.2427	21	0.37657571279199054	0.9711932209682468	0.9839348100439194	5.484117726972796	0.2882581657717448	4
Chi30_Random_zscore	9	1624.5071	27	0.491298621440761	0.46373716538938337	4.634357320956476	5.909262071865207	0.9219894187167281	3
Chi30_Random_zscore	10	153.2848	40	0.03648157914813511	0.45462011772965816	0.09135375495227087	1.508580652946594	0.7064424262991696	3
Chi30_Random_zscore	11	505.2337	40	0.003956829233922189	0.4866532577058669	0.18312142953123223	0.9130905918037746	0.6799271355556366	3
Chi30_Random_zscore	12	215.2247	37	0.04241049689362315	0.4326691686692813	0.07977665013889634	0.8818062868312282	0.6267776077237603	3
Chi30_Random_zscore	13	1624.5071	36	0.2305561182233416	0.27064853177904075	1.787686732755151	1.8101824016317383	0.5728621711550628	3
Chi30_Random_zscore	14	1624.5071	36	0.14024907771478903	0.3704121873291124	0.7142084635456543	3.043117328058872	0.4534133887862017	3
Chi30_Random_zscore	15	1624.5071	36	0.33992357412395674	0.5837710601834953	1.6491612171646794	3.363319348929108	0.7182382236127522	3
Chi30_Random_zscore	17	404.2075	34	0.07327051111058833	0.38607561436146914	0.3229386254293978	0.45694608346308313	0.25551411705642324	3
Chi30_Random_zscore	18	3478.2636	38	0.2801394766546444	0.564584523859958	3.264444823549682	10.205800605884416	0.3718821020402177	3
Chi30_Random_zscore	19	3567.9551	34	0.5070998766121952	0.7831580832196015	1.1859141795153803	2.4998289056644163	0.7829426093146965	3
Chi30_Random_zscore	21	451.2864	34	0.07087701179271233	0.38443971703497104	0.39355981754717345	0.46735097674438175	0.21971119431596697	3
Chi30_Random_zscore	22	61.3337	38	0.07390432612704897	0.26701381788186096	0.03676994996921967	1.2448168442955514	0.16348084398658977	3
Chi30_Random_zscore	24	57.1236	38	0.004261273572892882	0.2726926476067496	0.02520542303800974	1.5584087677893934	0.5226080424032384	3
Chi30_Random_zscore	25	1624.5071	39	0.27842193439301777	0.2726194981940075	0.6342163623771702	1.9136489659175657	0.4996065503564175	3
Chi30_Random_zscore	26	1624.5071	24	0.09836179039123627	0.15234275805251207	1.2905367058440282	4.751550733627247	0.39857658047733124	3
Chi30_Random_zscore	29	437.1069	40	0.0028034079168615233	0.5633578421281116	0.02033441127080817	0.020532729201364397	0.7303681183229016	3
Chi30_Random_zscore	30	1624.5071	32	0.44920822880801403	0.002885863934465549	1.4899574413537868	3.4384999803324847	0.5133434119486493	3
Chi30_Random_zscore	31	120.2972	37	0.07412453363747082	0.4375911532285299	0.12250625284787335	1.1699196769887892	0.6591846835229369	3
Chi30_Random_zscore	33	1624.5071	39	0.2773843028949741	0.32459753152707715	0.02668080433040281	1.2054708549734374	0.7536832558737074	3
Chi30_Random_zscore	34	1013.6585	39	0.14608742255442997	0.524240469562495	0.5217695528447538	1.3873251035752765	0.5102497160425521	3
Chi30_Random_zscore	36	3575.8695	35	0.5888454195560017	0.6525650924806179	0.5781170263364852	1.5112520992332654	0.8230363958111493	3
Chi30_Random_zscore	40	3527.8366	30	0.04064493173553463	0.8863109380704205	1.3844422302041266	7.3181217250160735	0.1896203688043759	4
Chi30_Random_zscore	41	180.7825	37	0.03859258882547095	0.43814357812909366	0.0018783419167824437	0.28049030480090864	0.6133898793527668	3
Chi30_Random_zscore	42	3532.6355	39	0.09363289265983776	0.5007998943889972	9.663700850744139e-05	0.1609570088669594	0.5481711704966221	3
Chi30_Random_zscore	44	44.5704	35	0.1129812681629294	0.44321167710828113	0.5990509762613728	1.3760392677793596	0.610873990399128	3
Chi30_Random_zscore	46	1624.5071	36	0.22515199486550272	0.1087616024043146	3.7035160486593126	4.8015828961172105	0.4731832074711836	3
Chi30_Random_zscore	47	1624.5071	39	0.3110314399716639	0.52387054255616	0.9528196235492302	2.2211274591310413	0.6903700259746844	4
Chi30_Random_zscore	48	3555.1310	40	0.11097869079561011	0.7223925485896627	4.8741233538960795	5.498024523441039	0.0007524608223803408	3
Chi30_Random_zscore	50	1624.5071	24	0.2462475203274654	0.4621745585822956	0.4634894859488562	1.1446529578445466	0.542105454504117	3
Chi30_Random_zscore	51	820.9679	37	0.0417285673083779	0.4244889962537708	0.1452104424853333	0.8334890287096044	0.6261786219643669	3
Chi30_Random_zscore	52	3458.6362	38	0.000270100422726155	0.35735278574732565	0.03021240254767383	0.46570909740310995	0.6430149987613967	3
