Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L20	38	79087.8663	27	0.7024840839871093	0.35949115121975517	2.9359184426449336	11.02952999743007	0.8101133946791808	2
Chi30_zscore_L20	40	62.2685	29	0.3379951568515358	0.375582952639944	0.93981939840869	6.72262080837043	0.035942273796742086	1
Chi30_zscore_L20	41	161.5261	25	0.2865412521282844	0.5908332605690108	0.3050024993904943	0.6784843868826385	0.8226005606596583	1
Chi30_zscore_L20	44	210.2632	28	0.2708322512620742	0.4389714207056361	0.7845638134226596	1.0380712475772347	0.9626484146779251	2
Chi30_zscore_L20	45	79087.8663	27	0.4089529444142699	0.17329432007084578	1.5643704267108605	4.066799408356814	0.5492266647061205	2
Chi30_zscore_L20	46	79087.8663	27	0.27993389694594284	0.9548652806631941	7.378969166957685	12.922509692071692	0.6117207462343522	1
Chi30_zscore_L20	47	24534.1321	22	0.3559726786512616	0.7578461104643691	0.14393488629755868	1.304661291366721	0.04600264202175275	0
Chi30_zscore_L20	48	1169.2831	29	0.7036578593800237	0.4741738290873252	0.9783416065100148	5.894500357678338	0.4734717707805657	0
Chi30_zscore_L20	51	79087.8663	26	0.9402302414249576	0.575474177875879	3.881699262065219	10.31458144648875	0.45825289049151663	1
Chi30_zscore_L20	53	383.8893	20	0.0944429607559284	0.6830067734163568	0.7118864846022899	3.9016427875399025	0.8448753109694546	0
Chi30_zscore_L20	54	79087.8663	28	0.28185477477339993	0.11816482762165625	6.967371653641506	13.256800121440346	0.877472013527053	2
Chi30_zscore_L20	55	79087.8663	28	0.2820345725713065	0.17743954377972282	7.506147516408584	15.574494909081222	0.9905051420006733	1
Chi30_zscore_L20	57	79087.8663	28	0.10312386883593261	0.9025529066795667	5.052523724478571	13.317098385555987	0.32004960103061175	2
Chi30_zscore_L20	58	14214.7636	24	0.01083765148029836	0.9053819764192637	0.9128667678613356	4.106003143765484	0.9500619670508049	2
Chi30_zscore_L20	59	79087.8663	26	0.6318372121697993	0.44844552197831977	2.9321077169806453	6.218753170679805	0.6725184560770384	2
Chi30_zscore_L20	60	79087.8663	28	0.7896181427945539	0.09120610304869037	4.944203047025814	5.5197906471922575	0.5495288823237355	1
Chi30_zscore_L20	61	79087.8663	29	0.3509150125520787	0.11706701642760586	1.4299168205283586	9.045023137703081	0.6182180633162611	0
Chi30_zscore_L20	65	9974.8702	25	0.011353644767419069	0.46866064199412627	0.5630327568183735	1.7512119194990927	0.11752624677710488	1
Chi30_zscore_L20	66	79087.8663	28	0.5833687650971596	0.9621725484745419	3.748705795237041	6.605826658055648	0.8685991281894603	0
Chi30_zscore_L20	67	23072.7336	30	0.012154474689816341	0.969878826707639	0.43159911950576113	9.343030256486472	0.5277011090862999	2
Chi30_zscore_L20	69	1168.3799	26	0.5843143119231002	0.901158010490989	0.4544638034145787	3.264095699336882	0.9504114840765587	2
Chi30_zscore_L20	72	79087.8663	27	0.1626169393448913	0.9109271844938425	8.22537242923169	17.72337156215093	0.72571950838836	1
Chi30_zscore_L20	73	371.8225	24	0.9327284833540133	0.8660638895004084	0.45218670106189407	0.7158564460344141	0.3764633668780496	2
Chi30_zscore_L20	75	973.5600	25	0.4148195023376652	0.27340707193070624	0.5637549665092711	9.210978729059804	0.8129010091300776	2
Chi30_zscore_L20	79	79087.8663	26	0.876653602658345	0.40348286621239704	1.3401522845064073	1.627979047639797	0.755137255673619	1
Chi30_zscore_L20	80	1384.4717	27	0.21296416150891073	0.13637147558676976	0.14544665667881929	3.6513222447447893	0.5899176868546331	1
Chi30_zscore_L20	82	79087.8663	29	0.9495206236576421	0.14707348092903794	9.265876251614944	14.187039182410327	0.25824438829895835	1
Chi30_zscore_L20	87	79087.8663	27	0.039312139841098936	0.7994103989090426	6.279003894909078	7.096594214397797	0.8735786241067772	2
Chi30_zscore_L20	90	79087.8663	27	0.8952068376871993	0.5116774421156661	5.321134852653157	6.392854966050917	0.44741236682345464	1
Chi30_zscore_L20	91	1428.1640	22	0.26924323094938096	0.37728416310462265	0.20071197777726368	3.4215036336090465	0.21144800699654465	0
Chi30_zscore_L20	94	79087.8663	27	0.5707783046689119	0.35609672589784624	9.865152487929796	15.922900681498668	0.23722679173599448	0
Chi30_zscore_L20	97	79087.8663	29	0.8170720709492799	0.25790282704493983	1.7088758739006582	8.395308073144967	0.9293759891275858	1
Chi30_zscore_L20	98	79087.8663	26	0.2799790936602842	0.7694929331919369	1.8704374855752337	5.107229849617671	0.4254364386164168	1
Chi30_zscore_L20	101	79087.8663	28	0.25464065476376385	0.6815027222239293	7.6022785988968655	13.558666004975308	0.47157618855015837	1
Chi30_zscore_L20	102	79087.8663	23	0.9295291442478258	0.8306194077877291	9.650269106665126	10.893241341520573	0.7308674752036443	2
Chi30_zscore_L20	105	79087.8663	29	0.3924451074226354	0.8165994394715771	4.391349085702184	8.16079337995126	0.46267978566960644	0
Chi30_zscore_L20	106	79087.8663	28	0.5027203900924792	0.2322126951468173	8.995745732745684	12.834657946477797	0.5435528611139886	2
Chi30_zscore_L20	107	79087.8663	26	0.11689804070836407	0.9398321236134751	6.277080530714178	9.62613667728504	0.13927207266338726	2
Chi30_zscore_L20	108	79087.8663	26	0.5334610919763215	0.8938925830509576	7.885972112245307	9.40272090957282	0.31172206779554823	0
Chi30_zscore_L20	109	79087.8663	28	0.03353243473577938	0.5698896848713165	7.624586857406905	16.392243225024398	0.34208174871590746	2
Chi30_zscore_L20	111	79087.8663	27	0.7200365365460744	0.6411476328852973	6.939484444671001	12.366728878146963	0.25179905890695276	1
Chi30_zscore_L20	113	363.8955	26	0.505888678884466	0.6114542354346478	0.18110183820840509	8.90234092764992	0.9321182824836124	1
Chi30_zscore_L20	114	79087.8663	27	0.9224993811772957	0.7072386343133986	1.5253904291426135	7.288274030810745	0.6067150463828559	1
Chi30_zscore_L20	115	79087.8663	28	0.9343670147690148	0.9255685129067763	4.508393714041321	5.640774172448873	0.9848411989623346	2
Chi30_zscore_L20	117	79087.8663	23	0.8028534485980114	0.004632023004602859	3.334991716911442	7.316678652820875	0.5373956029379229	2
Chi30_zscore_L20	118	79087.8663	23	0.3469532018962277	0.7375012481097484	4.522179408898071	6.7682276382978905	0.4524395161326934	0
Chi30_zscore_L20	121	25531.7370	30	0.5021950103312426	0.5953850173200438	0.6707647738842748	8.170369477876052	0.20990559309558576	2
Chi30_zscore_L20	124	79087.8663	29	0.9461154621336327	0.37330931627975295	2.707446731435538	9.147442163825694	0.4087341710980964	0
Chi30_zscore_L20	125	15209.8462	21	0.7159722288473975	0.6589239419101514	0.2709599250348349	2.490681544364329	0.2310747965880714	2
Chi30_zscore_L20	128	8714.1086	23	0.8963358185211198	0.013001923510736035	0.8550853085446808	2.933947860004954	0.026532203873819715	0
