Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L40	1	290.6909	49	0.6011150117432088	0.7080725777960455	0.20584494295802447	9.904943464577968	0.8324426408004217	1
Chi30_zscore_L40	3	79087.8663	41	0.29214464853521815	0.3663618432936917	4.56069984217036	12.412459456100496	0.19967378215835974	2
Chi30_zscore_L40	4	29365.1467	46	0.046450412719997725	0.6075448519014384	1.7052412368729153	2.3557571667257102	0.9488855372533332	4
Chi30_zscore_L40	7	30315.3880	42	0.9695846277645586	0.7751328233611146	9.394989415641891	18.34326291991838	0.5978999788110851	4
Chi30_zscore_L40	9	3957.6652	43	0.28093450968738076	0.5426960831582485	1.4092422497476265	9.431212057288024	0.07455064367977082	4
Chi30_zscore_L40	12	79087.8663	43	0.32518332202674705	0.7296061783380641	6.3755747135521315	15.247702139315399	0.4722149251619493	0
Chi30_zscore_L40	13	79087.8663	47	0.7607850486168974	0.5612771975694962	7.70967179954561	12.647627763189519	0.5227328293819941	2
Chi30_zscore_L40	16	30220.2486	50	0.808120379564417	0.6334037565104235	8.714605901877178	16.751326670868323	0.18657005888603584	4
Chi30_zscore_L40	19	79087.8663	43	0.9429097039125192	0.32320293202075523	5.187906217433661	12.218095806385438	0.363629602379294	4
Chi30_zscore_L40	20	1209.4612	50	0.25178229582536416	0.49724850589238545	3.0087830981676964	5.857188041942372	0.036886947354532795	3
Chi30_zscore_L40	23	2166.7617	46	0.6335297107608947	0.5357746840747585	0.902897700544083	9.255922656436463	0.32078006497173583	0
Chi30_zscore_L40	24	30305.2743	40	0.5908929431882418	0.6775643618422824	0.16587828927856152	5.286808872271371	0.22649577519793795	3
Chi30_zscore_L40	25	79087.8663	41	0.690937738102466	0.3867353463005374	9.367299887367345	10.742509328827278	0.3410663510502585	0
Chi30_zscore_L40	28	79087.8663	47	0.8971102599525771	0.8870864242651173	7.798755458576238	14.219071920119116	0.08413996499504883	0
Chi30_zscore_L40	30	79087.8663	46	0.6918951976926933	0.6519612595026005	2.242693094605598	9.364485308080956	0.23724908749680007	1
Chi30_zscore_L40	32	30315.3880	42	0.24398964337908358	0.9730105547524456	3.930977246667604	12.851442798438738	0.6311386259972629	3
Chi30_zscore_L40	34	79087.8663	47	0.17711067940704894	0.9404585843529143	9.539285770025874	18.68792967223036	0.3701587002554444	0
Chi30_zscore_L40	37	30312.5819	41	0.6150072266991697	0.9900538501042633	1.4008401523652403	6.584136676002608	0.8773730719279554	3
Chi30_zscore_L40	38	79087.8663	47	0.7024840839871093	0.35949115121975517	2.9359184426449336	11.02952999743007	0.8101133946791808	4
Chi30_zscore_L40	40	679.3136	49	0.3379951568515358	0.375582952639944	0.93981939840869	6.72262080837043	0.035942273796742086	2
Chi30_zscore_L40	41	152.6904	45	0.2865412521282844	0.5908332605690108	0.3050024993904943	0.6784843868826385	0.8226005606596583	1
Chi30_zscore_L40	42	79087.8663	41	0.5222432600548044	0.7699935530986108	2.1582102749684315	8.387115033158434	0.085347464993768	0
Chi30_zscore_L40	45	79087.8663	47	0.4089529444142699	0.17329432007084578	1.5643704267108605	4.066799408356814	0.5492266647061205	3
Chi30_zscore_L40	46	79087.8663	47	0.27993389694594284	0.9548652806631941	7.378969166957685	12.922509692071692	0.6117207462343522	2
Chi30_zscore_L40	47	25054.3737	42	0.3559726786512616	0.7578461104643691	0.14393488629755868	1.304661291366721	0.04600264202175275	0
Chi30_zscore_L40	48	116.4575	49	0.7036578593800237	0.4741738290873252	0.9783416065100148	5.894500357678338	0.4734717707805657	0
Chi30_zscore_L40	49	30297.8361	44	0.39850473439737344	0.6158500980522165	6.350936508676438	6.803976606396883	0.3746126146264712	3
Chi30_zscore_L40	51	79087.8663	46	0.9402302414249576	0.575474177875879	3.881699262065219	10.31458144648875	0.45825289049151663	2
Chi30_zscore_L40	53	131.6801	40	0.0944429607559284	0.6830067734163568	0.7118864846022899	3.9016427875399025	0.8448753109694546	0
Chi30_zscore_L40	57	30316.2441	48	0.10312386883593261	0.9025529066795667	5.052523724478571	13.317098385555987	0.32004960103061175	4
Chi30_zscore_L40	58	37378.0226	44	0.01083765148029836	0.9053819764192637	0.9128667678613356	4.106003143765484	0.9500619670508049	4
Chi30_zscore_L40	59	79087.8663	46	0.6318372121697993	0.44844552197831977	2.9321077169806453	6.218753170679805	0.6725184560770384	3
Chi30_zscore_L40	65	170.5147	45	0.011353644767419069	0.46866064199412627	0.5630327568183735	1.7512119194990927	0.11752624677710488	3
Chi30_zscore_L40	67	29787.2913	50	0.012154474689816341	0.969878826707639	0.43159911950576113	9.343030256486472	0.5277011090862999	4
Chi30_zscore_L40	69	30258.6324	46	0.5843143119231002	0.901158010490989	0.4544638034145787	3.264095699336882	0.9504114840765587	4
Chi30_zscore_L40	71	30351.8299	40	0.9743948076661665	0.9862107444796029	6.981617140197452	12.342580803638654	0.30952761628632774	4
Chi30_zscore_L40	72	30244.8284	47	0.1626169393448913	0.9109271844938425	8.22537242923169	17.72337156215093	0.72571950838836	3
Chi30_zscore_L40	73	30359.1991	44	0.9327284833540133	0.8660638895004084	0.45218670106189407	0.7158564460344141	0.3764633668780496	4
Chi30_zscore_L40	77	79087.8663	41	0.9540510272587224	0.60617463445088	2.2864280550346274	9.003434899093195	0.6181282404578958	1
Chi30_zscore_L40	78	79087.8663	41	0.6715731955927996	0.5203077009037933	7.723183917356393	12.924818928476327	0.8521815003185401	2
Chi30_zscore_L40	79	79087.8663	46	0.876653602658345	0.40348286621239704	1.3401522845064073	1.627979047639797	0.755137255673619	3
Chi30_zscore_L40	80	180.4381	47	0.21296416150891073	0.13637147558676976	0.14544665667881929	3.6513222447447893	0.5899176868546331	1
Chi30_zscore_L40	84	79087.8663	41	0.15190269351229435	0.13882717264941014	6.4087474480321465	8.227548292023595	0.3456672833238632	4
Chi30_zscore_L40	86	79087.8663	41	0.08870253375705561	0.12063587110060081	4.607787680327258	6.671124864385183	0.36426986104807546	2
Chi30_zscore_L40	87	13099.7820	47	0.039312139841098936	0.7994103989090426	6.279003894909078	7.096594214397797	0.8735786241067772	4
Chi30_zscore_L40	90	79087.8663	47	0.8952068376871993	0.5116774421156661	5.321134852653157	6.392854966050917	0.44741236682345464	2
Chi30_zscore_L40	91	5010.7613	42	0.26924323094938096	0.37728416310462265	0.20071197777726368	3.4215036336090465	0.21144800699654465	1
Chi30_zscore_L40	92	79087.8663	41	0.890527280739895	0.5935924535540487	6.791023191444896	14.68273557751828	0.4984421989290573	0
Chi30_zscore_L40	94	79087.8663	47	0.5707783046689119	0.35609672589784624	9.865152487929796	15.922900681498668	0.23722679173599448	0
